Länge der Frage,Frage - Antwort Ratio,Absolute Häufigkeit
5,,1
7,,10
8,,14
9,,16
10,,64
11,,92
12,,108
13,,122
14,,155
15,,236
16,,324
17,,482
18,,671
19,,815
20,,1077
21,,1300
22,1.120403321,1686
23,1.138516993,1942
24,1.111314705,2183
25,1.105553367,2539
26,1.140501792,2790
27,1.143462667,3067
28,1.101567034,3446
29,1.108796931,3649
30,1.13301119,3932
31,1.112601821,4174
32,1.122186495,4665
33,1.101993704,4765
34,1.112860892,4953
35,1.151379712,5146
36,1.121661721,5392
37,1.132490475,5774
38,1.132209868,5756
39,1.111204013,5980
40,1.116663988,6223
41,1.111475922,6396
42,1.142117289,6565
43,1.137892908,6331
44,1.136321769,6514
45,1.149627422,6710
46,1.166367713,6690
47,1.165559982,6777
48,1.145446442,6731
49,1.133313451,6706
50,1.155715572,6666
51,1.144929726,6617
52,1.163613976,6497
53,1.157357357,6660
54,1.16358355,6541
55,1.143552311,6576
56,1.171070719,6547
57,1.169728372,6369
58,1.15791904,6497
59,1.197252208,6114
60,1.17669593,6265
61,1.171598611,6049
62,1.187377049,6100
63,1.183837035,5989
64,1.208681135,5990
65,1.182837069,5978
66,1.202199662,5910
67,1.205542725,5629
68,1.170318021,5660
69,1.219136355,5581
70,1.204545455,5500
71,1.228907084,5618
72,1.226083775,5467
73,1.217431193,5450
74,1.257332072,5285
75,1.22183908,5220
76,1.219013688,5333
77,1.226808176,5088
78,1.241337631,4964
79,1.254264825,4924
80,1.194288013,4972
81,1.221577262,4996
82,1.237083929,4897
83,1.227103191,4826
84,1.24173465,4658
85,1.211387435,4584
86,1.259033522,4594
87,1.279230603,4627
88,1.2415943,4491
89,1.274685817,4456
90,1.247455327,4421
91,1.28957799,4289
92,1.264658909,4383
93,1.281072484,4401
94,1.266618322,4137
95,1.303284584,4171
96,1.316393843,4093
97,1.292947103,3970
98,1.257043994,4046
99,1.266185259,4016
100,1.309213821,3994
101,1.267766497,3940
102,1.294390118,3886
103,1.310557342,3732
104,1.286240463,3801
105,1.314567769,3748
106,1.329424029,3837
107,1.335859269,3695
108,1.339349193,3657
109,1.300915948,3712
110,1.333145751,3554
111,1.361142217,3572
112,1.310403158,3547
113,1.319263456,3530
114,1.319327731,3451
115,1.378526195,3474
116,1.322383721,3440
117,1.312037859,3381
118,1.322297099,3413
119,1.360447536,3307
120,1.333724684,3407
121,1.322332859,3515
122,1.343098592,3550
123,1.361940299,3484
124,1.345500849,3534
125,1.35950645,3566
126,1.368118324,3651
127,1.35864745,3608
128,1.359501895,3694
129,1.373780005,3791
130,1.349565675,3799
131,1.388081395,4128
132,1.396881644,4233
133,1.40669964,4448
134,1.4105751,4747
135,1.416897251,5421
136,1.380654713,6079
137,1.462609445,6967
138,1.40760996,8594
139,1.419008109,10606
140,1.376823578,16931
