Länge der Frage,Frage - Antwort Ratio,Absolute Häufigkeit
4,0,141
5,0.01785714286,168
6,0.00,98
7,0.02,635
8,0.01,2195
9,0.01,3137
10,0.02,3823
11,0.03,4248
12,0.06,4296
13,0.04,3765
14,0.05,3823
15,0.07,4252
16,0.07,5376
17,0.10,6136
18,0.12,6737
19,0.12,8048
20,0.13,9014
21,0.17,9846
22,0.18,10340
23,0.20,11039
24,0.20,11928
25,0.22,12813
26,0.24,13402
27,0.24,14317
28,0.25,15240
29,0.26,15533
30,0.28,15961
31,0.28,16301
32,0.30,17328
33,0.30,17467
34,0.30,18200
35,0.32,18788
36,0.32,19019
37,0.33,19883
38,0.33,19571
39,0.33,20125
40,0.34,20475
41,0.34,20697
42,0.36,20864
43,0.35,20809
44,0.35,20908
45,0.37,21047
46,0.36,21812
47,0.37,21519
48,0.36,21406
49,0.35,21570
50,0.36,21307
51,0.35,21439
52,0.35,21439
53,0.36,21395
54,0.36,21251
55,0.35,21581
56,0.36,21451
57,0.35,21240
58,0.36,20760
59,0.35,20917
60,0.36,20693
61,0.33,21573
62,0.36,20362
63,0.35,20294
64,0.35,20800
65,0.34,20608
66,0.35,20289
67,0.34,19766
68,0.34,19715
69,0.34,20153
70,0.34,19565
71,0.35,19733
72,0.35,19338
73,0.34,19750
74,0.35,18757
75,0.34,18950
76,0.34,19091
77,0.32,19254
78,0.33,18536
79,0.34,18032
80,0.33,18188
81,0.33,18374
82,0.33,18292
83,0.33,17874
84,0.33,17640
85,0.30,18361
86,0.33,17663
87,0.32,18282
88,0.32,17327
89,0.33,17079
90,0.31,17742
91,0.34,16398
92,0.33,16934
93,0.35,16333
94,0.31,16856
95,0.34,15951
96,0.33,16194
97,0.32,16175
98,0.33,15578
99,0.32,15772
100,0.34,15317
101,0.32,15659
102,0.33,15313
103,0.32,15433
104,0.33,15012
105,0.32,15177
106,0.34,15052
107,0.34,14343
108,0.35,14109
109,0.33,14555
110,0.33,14575
111,0.34,14202
112,0.30,15689
113,0.32,14651
114,0.30,15228
115,0.33,14422
116,0.32,14270
117,0.30,14962
118,0.32,13897
119,0.32,14083
120,0.32,14035
121,0.34,13871
122,0.32,14771
123,,
124,0.32,15068
125,0.32,15012
126,0.33,15039
127,0.30,16410
128,0.32,15525
129,0.33,15865
130,0.31,16783
131,0.32,17732
132,0.31,19175
133,0.31,20079
134,0.29,23429
135,0.31,25134
136,,
137,0.32,32138
138,0.26,46663
