Länge,Fragen,Tweets 
3,,2030
4,141,3833
5,168,5045
6,98,6525
7,635,7850
8,2195,9936
9,3137,15019
10,3823,35772
11,4248,24924
12,4296,28567
13,3765,40350
14,3823,36794
15,4252,41191
16,5376,42335
17,6136,46522
18,6737,51227
19,8048,55623
20,9014,62276
21,9846,66988
22,10340,74033
23,11039,78738
24,11928,84841
25,12813,90227
26,13402,93238
27,14317,98438
28,15240,105091
29,15533,106694
30,15961,108320
31,16301,111207
32,17328,113893
33,17467,117677
34,18200,119671
35,18788,124866
36,19019,125680
37,19883,127083
38,19571,129486
39,20125,131003
40,20475,131655
41,20697,134180
42,20864,136707
43,20809,141052
44,20908,136531
45,21047,139569
46,21812,140068
47,21519,142549
48,21406,143657
49,21570,144253
50,21307,143009
51,21439,159607
52,21439,143581
53,21395,143620
54,21251,148926
55,21581,143413
56,21451,155431
57,21240,144149
58,20760,144000
59,20917,143969
60,20693,145242
61,21573,147983
62,20362,145220
63,20294,144876
64,20800,145432
65,20608,144415
66,20289,145794
67,19766,144771
68,19715,257317
69,20153,145815
70,19565,144864
71,19733,144303
72,19338,147695
73,19750,147743
74,18757,144557
75,18950,143716
76,19091,142895
77,19254,143582
78,18536,143439
79,18032,143758
80,18188,142002
81,18374,140643
82,18292,141965
83,17874,142858
84,17640,141972
85,18361,145148
86,17663,144058
87,18282,151046
88,17327,142319
89,17079,172102
90,17742,151238
91,16398,172308
92,16934,259799
93,16333,154067
94,16856,170325
95,15951,241749
96,16194,173065
97,16175,317484
98,15578,648641
99,15772,182285
100,15317,172590
101,15659,322265
102,15313,132784
103,15433,253635
104,15012,125536
105,15177,123990
106,15052,123419
107,14343,129917
108,14109,126887
109,14555,119337
110,14575,127232
111,14202,120098
112,15689,122889
113,14651,121113
114,15228,126428
115,14422,125198
116,14270,127998
117,14962,165856
118,13897,113748
119,14083,112227
120,14035,110777
121,13871,118345
122,14771,133820
123,23763,268139
124,15068,117487
125,15012,117277
126,15039,119981
127,16410,121401
128,15525,156432
129,15865,135582
130,16783,134599
131,17732,147079
132,19175,153913
133,20079,190344
134,23429,286927
135,25134,212405
136,86874,1470670
137,32138,298919
138,46663,288623
139,42716,329440
140,62032,407291
